experimento,versao,nodes,procs,threads,maxiter,rows,segundos
baseline,seq,1,1,1,2000,-,93.194233
omp_threads,hib,2,2,1,2000,64,87.006309
omp_threads,hib,2,2,2,2000,64,43.679385
omp_threads,hib,2,2,4,2000,64,23.400256
omp_threads,hib,2,2,8,2000,64,11.850233
omp_threads,hib,2,2,16,2000,64,6.849682
forte_hib,hib,2,2,16,2000,64,7.075377
forte_hib,hib,3,3,16,2000,64,3.454101
forte_hib,hib,4,4,16,2000,64,2.988875
forte_mpi_ht,mpi,2,32,1,2000,-,3.351889
forte_mpi_ht,mpi,3,48,1,2000,-,2.735431
forte_mpi_ht,mpi,4,64,1,2000,-,2.002144
forte_mpi_core,mpi,2,16,1,2000,-,6.120959
forte_mpi_core,mpi,3,24,1,2000,-,4.021702
forte_mpi_core,mpi,4,32,1,2000,-,3.203527
coord_dedicado,hib,4,4,16,2000,64,2.962407
coord_compartilhado,hib,4,5,16,2000,64,2.349887
fraca_hib,hib,2,2,16,1500,64,5.248208
fraca_hib,hib,3,3,16,3000,64,5.058961
fraca_hib,hib,4,4,16,4500,64,5.404228
